ssn,age,education,marital-status,relationship,sex,income
994-99-4994,86.0,,,Husband,Male,
329-32-9329,39.0,,Married-civ-spouse,Husband,Male,
428-42-8428,59.0,HS-grad,,,,
424-42-4424,53.0,HS-grad,,Husband,,>50K
565-56-5565,19.0,HS-grad,Married-civ-spouse,,Male,<=50K
357-35-7357,54.0,HS-grad,,Husband,Male,<=50K
413-41-3413,27.0,Bachelors,,Not-in-family,,
767-76-7767,,Bachelors,Never-married,Own-child,Female,<=50K
042-04-2042,20.0,HS-grad,Never-married,Own-child,Female,<=50K
203-20-3203,34.0,HS-grad,Married-civ-spouse,,Male,
232-23-2232,23.0,Some-college,Married-civ-spouse,,Male,<=50K
306-30-6306,38.0,,Married-civ-spouse,Husband,Male,>50K
187-18-7187,58.0,Some-college,Married-civ-spouse,Husband,,>50K
870-87-0870,31.0,Bachelors,Never-married,Not-in-family,Female,
185-18-5185,24.0,Some-college,Never-married,,Female,
992-99-2992,34.0,HS-grad,Married-civ-spouse,Husband,Male,
612-61-2612,58.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
986-98-6986,23.0,HS-grad,Never-married,Own-child,Male,
563-56-3563,30.0,HS-grad,,Unmarried,Female,>50K
441-44-1441,24.0,Some-college,Never-married,,Female,
709-70-9709,47.0,,Divorced,Unmarried,Male,>50K
200-20-0200,35.0,Some-college,Separated,Unmarried,,
371-37-1371,30.0,5th-6th,,Husband,Male,<=50K
341-34-1341,51.0,Assoc-voc,Married-civ-spouse,Husband,Male,>50K
021-02-1021,33.0,,,Not-in-family,,<=50K
228-22-8228,50.0,Prof-school,Never-married,Not-in-family,Female,<=50K
886-88-6886,58.0,HS-grad,,Not-in-family,,<=50K
863-86-3863,27.0,12th,Married-civ-spouse,Husband,,<=50K
663-66-3663,,Bachelors,Married-civ-spouse,,Male,
435-43-5435,27.0,,Never-married,Other-relative,,<=50K
259-25-9259,30.0,,Separated,Not-in-family,,<=50K
655-65-5655,28.0,Bachelors,Never-married,,Female,
285-28-5285,33.0,,Never-married,,,
857-85-7857,36.0,,Married-civ-spouse,,Male,>50K
885-88-5885,42.0,HS-grad,Separated,Unmarried,,
008-00-8008,62.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
833-83-3833,74.0,10th,Married-civ-spouse,Husband,Male,<=50K
731-73-1731,27.0,,Married-civ-spouse,Husband,,
606-60-6606,46.0,Some-college,Married-civ-spouse,Husband,Male,>50K
795-79-5795,24.0,,,Own-child,Male,<=50K
236-23-6236,37.0,,,,,
614-61-4614,32.0,HS-grad,,Not-in-family,Female,<=50K
383-38-3383,28.0,,,Husband,Male,<=50K
241-24-1241,38.0,HS-grad,Married-civ-spouse,,,
604-60-4604,53.0,Some-college,Divorced,,Female,<=50K
035-03-5035,22.0,Some-college,,,Male,
469-46-9469,66.0,,,Not-in-family,Female,
979-97-9979,52.0,HS-grad,,Husband,,
098-09-8098,27.0,,Married-civ-spouse,,,<=50K
225-22-5225,,,Widowed,Not-in-family,Female,
600-60-0600,40.0,HS-grad,Never-married,Own-child,Female,<=50K
444-44-4444,,,Never-married,Unmarried,,<=50K
658-65-8658,27.0,,Separated,Not-in-family,,
313-31-3313,40.0,,Separated,,,
461-46-1461,29.0,HS-grad,Never-married,Unmarried,,<=50K
775-77-5775,30.0,,Divorced,Not-in-family,Female,
876-87-6876,45.0,HS-grad,Married-civ-spouse,Husband,Male,
376-37-6376,,,Married-civ-spouse,Husband,,>50K
387-38-7387,54.0,11th,Married-civ-spouse,,Male,>50K
356-35-6356,50.0,HS-grad,Never-married,Own-child,,
605-60-5605,41.0,Bachelors,Separated,Not-in-family,Male,<=50K
553-55-3553,,Assoc-voc,Never-married,Own-child,Male,<=50K
852-85-2852,39.0,Masters,,Not-in-family,,<=50K
524-52-4524,65.0,,,Husband,,<=50K
455-45-5455,58.0,HS-grad,Widowed,Not-in-family,,
214-21-4214,27.0,Bachelors,Never-married,Unmarried,Male,<=50K
006-00-6006,54.0,,Married-civ-spouse,,,
618-61-8618,17.0,HS-grad,Never-married,,Male,<=50K
044-04-4044,35.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
138-13-8138,29.0,Bachelors,Divorced,Own-child,Female,
715-71-5715,42.0,Some-college,Never-married,Not-in-family,Male,<=50K
425-42-5425,51.0,,,Husband,Male,<=50K
127-12-7127,22.0,HS-grad,Never-married,,Male,
381-38-1381,40.0,,,Husband,,
332-33-2332,,Some-college,Never-married,,Female,<=50K
243-24-3243,29.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
000-00-0000,47.0,Some-college,,Husband,,
